REGIÓN,COMUNA,BIENESTAR,ECONOMÍA,EDUCACIÓN,IDC_2020,RANKING,RANGOS,Población_2017,Población_2002,Población_1992,Macroregioes
ARICA Y PARINACOTA,CAMARONES,390.1,55.6,431.7,210.8,331,Bajo,1255.0,999.0,729.0,Zona Norte Grande
TARAPACÁ,CAMIÑA,480.6,43.8,608.5,233.9,322,Bajo,1250.0,1287.0,1420.0,Zona Norte Grande
COQUIMBO,CANELA,523.0,28.3,597.8,206.9,332,Bajo,9093.0,9420.0,10319.0,Zona Norte Chico
ARAUCANÍA,CARAHUE,583.0999999999999,52.400000000000006,618.1,266.2,294,Bajo,24533.0,25575.0,25342.0,Zona Sur
VALPARAÍSO,CARTAGENA,851.3,81.69999999999999,653.5,356.8,181,Medio bajo,22738.0,16678.0,11510.0,Zona Central
VALPARAÍSO,CASABLANCA,846.9,133.8,724.0999999999999,434.6,95,Medio,26867.0,21748.0,16417.0,Zona Central
LOS LAGOS,CASTRO,810.4,195.0,707.6,481.8,65,Medio,43807.0,39351.0,29896.0,Zona Sur
VALPARAÍSO,CATEMU,819.1,68.2,613.8000000000001,324.90000000000003,223,Medio bajo,13998.0,12017.0,11287.0,Zona Central
MAULE,CAUQUENES,771.9,130.20000000000002,686.9,410.2,119,Medio,40441.0,41227.0,40176.0,Zona Central
BIOBÍO,CAÑETE,714.5,112.6,692.5,382.0,141,Medio bajo,34537.0,31463.0,29026.0,Zona Sur
RM,CERRILLOS,933.1,191.5,652.9000000000001,488.6,62,Medio alto,80832.0,71602.0,71745.0,Zona Central
RM,CERRO NAVIA,899.5999999999999,94.2,614.3,373.4,154,Medio bajo,132622.0,148454.0,155425.0,Zona Central
LOS LAGOS,CHAITÉN,607.8,112.7,569.3000000000001,339.2,206,Medio bajo,5071.0,7062.0,7006.0,Zona Sur
MAULE,CHANCO,554.5,42.8,546.5,234.9,319,Bajo,8928.0,9423.0,9504.0,Zona Central
ATACAMA,CHAÑARAL,837.9,97.7,609.4000000000001,368.1,161,Medio bajo,12219.0,13303.0,13856.0,Zona Norte Chico
BIOBÍO,CHIGUAYANTE,929.0,207.2,771.2,529.5,45,Medio alto,85938.0,81411.0,55574.0,Zona Sur
AYSÉN,CHILE CHICO,884.1999999999999,121.6,582.0999999999999,397.0,127,Medio,4865.0,4435.0,3752.0,Zona Austral
BIOBÍO-ÑUBLE,CHILLÁN,870.7,227.8,772.9,535.2,42,Medio alto,184739.0,161961.0,148693.0,Zona Sur
BIOBÍO-ÑUBLE,CHILLÁN VIEJO,815.3000000000001,102.3,647.9,378.0,146,Medio bajo,30907.0,21829.0,16311.0,Zona Sur
O'HIGGINS,CHIMBARONGO,813.1,78.39999999999999,681.1,351.5,189,Medio bajo,35399.0,32180.0,30292.0,Zona Central
ARAUCANÍA,CHOLCHOL,372.2,28.8,592.1999999999999,185.1,338,Bajo,11611.0,9854.0,8838.0,Zona Sur
LOS LAGOS,CHONCHI,596.0,104.9,704.7,353.2,187,Medio bajo,14858.0,12483.0,10640.0,Zona Sur
